"所有者コード","所有者名","住所"
"43509","(株)ＦＯＲＴＹ　ＳＥＣＯＮＤ","新潟県新潟市東区大形本町193"
"43510","(株)ＩＮＦＲＯＮＸ","滋賀県甲賀市水口町植348-5"
"43511","(株)ＭＩＮＡＴＯ","滋賀県東近江市能登川町970"
"43512","(有) Ｊ－ＢＬＵＥ","栃木県宇都宮市宝木本町2078-7"
"43513","(株)廃車ドットコム","東京都中央区銀座6丁目6-1"
"43514","(有) 北印貿易","北海道札幌市清田区有明252-1"
"43515","(有)筒井モータース","徳島県吉野川市鴨島町知恵島1774-4"
"43516","ＰＡＫ　ＴＲＡＤＩＮＧ (株)","宮城県栗原市高清水勝負ヶ町99"
"43517","(有)ティハマトレーディング","兵庫県西脇市塚口町21-43"
"43518","(株) アイン・カーサービス","兵庫県神戸市西区竜が岡4丁目13-13-103"
"43519","(株) 三和自動車整備工業","静岡県焼津市三和1803"
"42723","生振商会 (株)","北海道石狩市生振540-58"
"42725","(株) イメージングラボ","奈良県北葛城郡広陵町笠179-13"
"42727","(株) ＬＥＶＥＬ４　Ｔｅｃｈｎｉｃａｌ　Ｆａｃｔｏｒｙ","埼玉県八潮市西袋1417-4"
"42728","Ｍ＆Ａ　ＴＲＡＤＩＮＧ(同)","大阪府堺市南区三原台1-3-38-202"
"42729","(株)ＣＲＯＯＺＩＳＥ","大阪府和泉市池田下町282"
"42731","(株)ＦＡＨＡＲＩ　ＴＲＡＤＩＮＧ","茨城県稲敷郡美浦村舟子2334-1"
"42732","(株) ＳＴＦ・ＴＲＡＤＩＮＧ","岐阜県美濃市須原228-3"
"42735","(株) ベルモンドインターナショナル","岐阜県岐阜市戎町4丁目21"
"42738","(株)Ｕｎｉｖｅｒｓｅ","新潟県新潟市西区山田661-1"
"42739","(株) ホンダカーズ館山","千葉県館山市高井795-1"
"42741","Ｂｇｒｏｕｐ (株)","東京都世田谷区尾山台1丁目17-11-1"
"42742","ＰＡＩＭＡＮ　ＴＲＡＤＩＮＧ (株)","千葉県四街道市鹿放ケ丘290-4"
"42744","(株) 永浜商事","兵庫県神戸市垂水区塩屋北町1丁目20-19"
"42745","(株) Ｃａｒ　Ｐｒｏｄｕｃｅｒ　Ｋ＆Ｇ","岐阜県各務原市前渡東町3丁目193-1"
"42746","ＵＲＷＡ　ＡＵＴＯ　ＳＥＬＥＣＴＩＯＮ (株)","福岡県古賀市筵内719-1"
"42747","(株)Ａｃｔｉｖｅ","静岡県沼津市下香貫島郷2976-4"
"42748","(株)グローバルアローズ","神奈川県横浜市磯子区栗木2丁目1-5"
"42749","ＣＡＲ工房(株)","神奈川県相模原市南区下溝3054-1"
"42750","(株)グローバル・オート","千葉県野田市中根140-14-Ａ"
"42753","(株)日向設計","東京都豊島区高田3丁目8-5-405"
"42724","(株) Ｋ’ｓ－ｓｐｅｓ","静岡県静岡市駿河区用宗小石町4-25"
"42740","ＳＨＯＮＡＮ　ＢＯＥＫＩ(株)","神奈川県綾瀬市早川2297-2"
"42754","(有) 光亜貿易","千葉県四街道市大日1656-2"
"44803","(株)ハラールトレーディング","神奈川県伊勢原市沼目4丁目1-20"
"44804","(有) ＮＡＧＯＹＡＷＩＮＧＳ","愛知県愛知郡東郷町春木字新池249"
"44806","(株)オートＭ","滋賀県蒲生郡日野町川原1174"
"44807","ＦＲＥＥＤＯＭ(株)","埼玉県北葛飾郡松伏町魚沼1023-1"
"44808","内山インターナショナル(株)","奈良県生駒市小瀬町802-1"
"44809","ガレージプラス(株)","静岡県静岡市葵区沓谷6丁目11-10"
"44810","(株) トラックファイブ","東京都港区新橋5丁目14-10"
"44811","(有)結城商会","山形県天童市蔵増660-2"
"44812","(株) ＳＡＴ","鹿児島県鹿児島市中山町765-1"
"44813","(有) 有村モータース","鹿児島県鹿屋市西原4丁目14-1"
"44815","(株)Ｇａｒａｇｅ　ＮＥＸＴ","石川県金沢市高畠3丁目199"
"44817","新潟ヤマダ自動車販売(株)","新潟県新潟市東区一日市1016-1"
"44818","(株)関西ワークス","和歌山県和歌山市毛見1024-5"
"44819","(有)パーク・トヤマ・インターナショナル","富山県砺波市庄川町庄3514"
"44820","(株)ＶＥＮＵＳ　Ｉｎｔｅｒｎａｔｉｏｎａｌ","静岡県焼津市中根60-1"
"44821","(株) 愛紗トレーディング","愛知県弥富市三稲1丁目15-1"
"44822","(有) ブラザーズトレーディング","愛知県弥富市三稲2丁目26"
"44823","ＢＡＳＳＥＬ　ＴＲＡＤＩＮＧ(株)","兵庫県三木市志染町中自由が丘2丁目605-Ｃ"
"44824","(株) ７１７ＷＯＲＫＳ","北海道旭川市豊岡2条2丁目5-12"
"44825","ＲＥＩ　ｃａｒ　ＬＩＮＫ’　ＣＲＥＡＴＩＯＮ(株)","長崎県諫早市高来町里253-2"
"44828","(株) ジースクエア","兵庫県神戸市中央区新港町11-1"
"44829","はましんリース(株)","静岡県浜松市中区元城町114-1"
"44826","(同)Ａｓｈｕ　Ｉｎｔｅｒｎａｔｉｏｎａｌ","新潟県新発田市下坂町478-6"
"44490","(株) 吹上ホンダ","埼玉県鴻巣市新宿2丁目173"
"44491","(株)パイナップルオート","鹿児島県鹿児島市東開町5-17"
"44492","(株)ｉｆ","愛知県安城市今本町4丁目11-5"
"44493","(有) アート企画","福岡県福岡市南区寺塚2丁目16-1"
"44495","メジャーＣＢ(株)","埼玉県入間郡三芳町上富1952-1"
"44496","(株) エイトジャパン","北海道小樽市銭函3丁目502-2"
"44497","(株) ＫＧＳ","北海道札幌市東区北51条東7丁目3-14"
"44498","(株)ジーファクトリー","青森県青森市安田字稲森253-1"
"44499","ハッサントレーディングカンパニー(株)","宮城県栗原市金成稲荷前72-6"
"44500","(株)大川井自動車","静岡県静岡市葵区羽鳥3丁目23-19"
"44501","ＮＥＷ　ＡＧＥ (株)","愛知県名古屋市港区福田1丁目1118-Ｄ102"
"44504","(有)中田商会","鹿児島県鹿児島市喜入中名町746"
"44505","オトロンカーズ(株)","千葉県千葉市中央区寒川町3丁目107-3"
"44506","オートウィングス(株)","神奈川県厚木市下川入46-1-201"
"44509","(株) Ｍ’ｓ　Ｄｒｉｖｅ","宮城県仙台市若林区蒲町30-2"
"44508","(株) Ｄｒｅａｍ　Ｓｈａｒｅ","兵庫県尼崎市水堂町3丁目17-21"
"44510","関東商会(株)","神奈川県愛甲郡愛川町半原2366-6"
"44512","(株)プレミアム商会","神奈川県厚木市中依知420-7-202"
"44513","(株) カーテック滋賀","滋賀県野洲市三上2312-10"
"44514","(株) カワカツ","滋賀県大津市本宮2丁目8-2"
"44515","ｃａｒｓ(株)","奈良県天理市川原城町313-1"
"44516","アシュラフ・トレーディング (株)","神奈川県横浜市旭区今宿西町165-201"
"44517","セシージェイ・トレーディング (株)","千葉県白井市根1815-1"
"44518","(株) ヒデマル","鹿児島県日置市日吉町日置5240-1"
"44519","(有) ナカキホンダ","滋賀県近江八幡市上田町277-1"
"44520","Ｐｒｏｕｄ　Ｃｏｒｐｏｒａｔｉｏｎ(株)","大阪府泉大津市宮町8-6"
"44451","(株)Ｐｒｏ－Ｓｅｒｖｉｃｅ","新潟県北蒲原郡聖籠町大夫興野2830-4"
"44478","(株)Ｒ‐ＦＡＣＴＯＲＹ","東京都町田市上小山田町136-19"
"44488","(有)ユーロネットワーク","静岡県榛原郡吉田町神戸2605-3"
"44489","(株)ＭＮＳ　ＪＡＰＡＮ","山梨県都留市朝日馬場802-1"
"42009","(株) カーントレーディングカンパニー","茨城県常総市岡田496-31"
"42014","(株) ＢＭＭ","長野県東御市加沢1406-26"
"42015","ノヴィルフォーワード(株)","徳島県徳島市沖浜東3丁目15"
"42016","(株) Ｋ－ＴＡＫＥ","大阪府枚方市西招提町2238-7"
"42017","(株)アクタス","大阪府東大阪市加納5丁目4-47"
"42018","(株)ホンダカーズ大分中央","大分県大分市花園2丁目10-7"
"42019","(株)ＴＯＣＯＭＥ　ｅｎｔｅｒｐｒｉｓｅ","京都府京都市下京区八幡町535-704"
"42020","大分日産自動車(株)","大分県大分市広瀬町2丁目3-14"
"42021","(株)猪口自動車","福岡県みやま市瀬高町下庄841"
"42022","ＴＭＡ (同)","大阪府松原市別所3丁目5-7"
"42023","(有) 日税サービス北陸","石川県野々市市押野7丁目118"
"42024","(有) オートレックエンタープライズ","愛知県弥富市竹田6丁目2-1"
"42025","三栄自動車 (株)","岐阜県揖斐郡揖斐川町三輪2174-4"
"42026","(株) テクノガレージ","岐阜県本巣郡北方町高屋太子1丁目35-1"
